Country,Year,E-Waste Generated (Kt),E-Waste Recycled (Kt),Recycling Rate (%)
China,2022,11094.4,1886.0,17.0
United States,2022,7268.0,1090.2,15.0
India,2022,3998.7,1319.6,33.0
Japan,2022,2378.1,523.2,22.0
Brazil,2022,2420.2,24.2,1.0
Germany,2022,1853.7,963.9,52.0
United Kingdom,2022,1481.5,844.5,57.0
France,2022,1572.3,880.5,56.0
Russia,2022,2038.5,122.3,6.0
Nigeria,2022,1144.5,1.1,0.1
Egypt,2022,633.9,0.6,0.1
South Africa,2022,459.4,4.6,1.0
Australia,2022,539.0,150.9,28.0
Canada,2022,793.0,111.0,14.0
Mexico,2022,1464.2,14.6,1.0
Indonesia,2022,2027.6,0.0,0.0
Pakistan,2022,835.8,0.0,0.0
Bangladesh,2022,699.6,0.0,0.0
Vietnam,2022,1162.7,0.0,0.0
Turkey,2022,1095.8,0.0,0.0
